In which area do you stay in western line in Mumbai?,What is the carpet area of your current house in square feet?,What is the current price of your house in INR?,How many rooms do you have?,What facilities are available in your current society?,What all facilities are currently available in your nearby area?,Car Parking,24hr Water Supply,Maintenance Staff,Lift,Gas Pipeline,Gym,24hr Security,School,College,Hospitals,Medical,Railway Station,Market
Bhayandar,500,5500000,1 BHK,"Car Parking,24hr Water Supply,Maintenance Staff,Lift","School,College,Hospitals,Medical,Railway Station,Market","Car Parking,24hr Water Supply,Maintenance Staff,Lift","Car Parking,24hr Water Supply,Maintenance Staff,Lift","Car Parking,24hr Water Supply,Maintenance Staff,Lift","Car Parking,24hr Water Supply,Maintenance Staff,Lift","Car Parking,24hr Water Supply,Maintenance Staff,Lift","Car Parking,24hr Water Supply,Maintenance Staff,Lift","Car Parking,24hr Water Supply,Maintenance Staff,Lift","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Goregaon,450,8050000,2 BHK,"Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","School,College,Hospitals,Medical,Railway Station,Market","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Bhayandar,330,3000000,1 RK,24hr Water Supply,"School,College,Hospitals,Medical,Railway Station,Market",24hr Water Supply,24hr Water Supply,24hr Water Supply,24hr Water Supply,24hr Water Supply,24hr Water Supply,24hr Water Supply,"School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Nallasopara,400,2500000,1 RK,Car Parking,"School,Hospitals,Medical,Railway Station,Market",Car Parking,Car Parking,Car Parking,Car Parking,Car Parking,Car Parking,Car Parking,"School,Hospitals,Medical,Railway Station,Market","School,Hospitals,Medical,Railway Station,Market","School,Hospitals,Medical,Railway Station,Market","School,Hospitals,Medical,Railway Station,Market","School,Hospitals,Medical,Railway Station,Market","School,Hospitals,Medical,Railway Station,Market"
Bandra,200,8000000,1 RK,"24hr Water Supply,Maintenance Staff","School,College,Hospitals,Medical,Railway Station,Market","24hr Water Supply,Maintenance Staff","24hr Water Supply,Maintenance Staff","24hr Water Supply,Maintenance Staff","24hr Water Supply,Maintenance Staff","24hr Water Supply,Maintenance Staff","24hr Water Supply,Maintenance Staff","24hr Water Supply,Maintenance Staff","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Andheri,475,10000000,1 BHK,"Car Parking,24hr Water Supply,Gas Pipeline,Lift,24Hr Security","School,College,Hospitals,Medical,Railway Station,Market","Car Parking,24hr Water Supply,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Gas Pipeline,Lift,24Hr Security","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Andheri,750,15000000,1 BHK,"Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","School,College,Hospitals,Medical,Railway Station,Market","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Khar,450,2000000,1 RK,None of the above,"Medical,Railway Station",None of the above,None of the above,None of the above,None of the above,None of the above,None of the above,None of the above,"Medical,Railway Station","Medical,Railway Station","Medical,Railway Station","Medical,Railway Station","Medical,Railway Station","Medical,Railway Station"
Andheri,450,11000000,1 BHK,"24hr Water Supply,Gas Pipeline,Lift","School,College,Hospitals,Medical,Railway Station,Market","24hr Water Supply,Gas Pipeline,Lift","24hr Water Supply,Gas Pipeline,Lift","24hr Water Supply,Gas Pipeline,Lift","24hr Water Supply,Gas Pipeline,Lift","24hr Water Supply,Gas Pipeline,Lift","24hr Water Supply,Gas Pipeline,Lift","24hr Water Supply,Gas Pipeline,Lift","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Dahisar,230,2200000,1 BHK,None of the above,"School,Hospitals,Medical,Railway Station,Market",None of the above,None of the above,None of the above,None of the above,None of the above,None of the above,None of the above,"School,Hospitals,Medical,Railway Station,Market","School,Hospitals,Medical,Railway Station,Market","School,Hospitals,Medical,Railway Station,Market","School,Hospitals,Medical,Railway Station,Market","School,Hospitals,Medical,Railway Station,Market","School,Hospitals,Medical,Railway Station,Market"
Matunga Road,405,11000000,1 BHK,"Maintenance Staff,Lift,24Hr Security","School,College,Hospitals,Medical,Railway Station,Market","Maintenance Staff,Lift,24Hr Security","Maintenance Staff,Lift,24Hr Security","Maintenance Staff,Lift,24Hr Security","Maintenance Staff,Lift,24Hr Security","Maintenance Staff,Lift,24Hr Security","Maintenance Staff,Lift,24Hr Security","Maintenance Staff,Lift,24Hr Security","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Mahim,350,9000000,1 BHK,None of the above,"School,College,Hospitals,Medical,Railway Station,Market",None of the above,None of the above,None of the above,None of the above,None of the above,None of the above,None of the above,"School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Dadar,600,32000000,2 BHK,"Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","School,College,Hospitals,Medical,Railway Station,Market","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Matunga Road,684,10000000,1 BHK,"Car Parking,24hr Water Supply,Lift","School,Hospitals,Medical,Railway Station","Car Parking,24hr Water Supply,Lift","Car Parking,24hr Water Supply,Lift","Car Parking,24hr Water Supply,Lift","Car Parking,24hr Water Supply,Lift","Car Parking,24hr Water Supply,Lift","Car Parking,24hr Water Supply,Lift","Car Parking,24hr Water Supply,Lift","School,Hospitals,Medical,Railway Station","School,Hospitals,Medical,Railway Station","School,Hospitals,Medical,Railway Station","School,Hospitals,Medical,Railway Station","School,Hospitals,Medical,Railway Station","School,Hospitals,Medical,Railway Station"
Mira Road,1020,8200000,2 BHK,"Car Parking,Gas Pipeline,Lift,24Hr Security","School,College,Hospitals,Medical,Railway Station,Market","Car Parking,Gas Pipeline,Lift,24Hr Security","Car Parking,Gas Pipeline,Lift,24Hr Security","Car Parking,Gas Pipeline,Lift,24Hr Security","Car Parking,Gas Pipeline,Lift,24Hr Security","Car Parking,Gas Pipeline,Lift,24Hr Security","Car Parking,Gas Pipeline,Lift,24Hr Security","Car Parking,Gas Pipeline,Lift,24Hr Security","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Mahim,100,5000000,1 RK,None of the above,"School,College,Hospitals,Medical,Railway Station,Market",None of the above,None of the above,None of the above,None of the above,None of the above,None of the above,None of the above,"School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Dadar,720,28500000,1 BHK,"Car Parking,24hr Water Supply","School,College,Hospitals,Medical,Railway Station,Market","Car Parking,24hr Water Supply","Car Parking,24hr Water Supply","Car Parking,24hr Water Supply","Car Parking,24hr Water Supply","Car Parking,24hr Water Supply","Car Parking,24hr Water Supply","Car Parking,24hr Water Supply","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Khar,600,50000000,2 BHK,"Car Parking,Maintenance Staff","School,College,Hospitals,Medical,Railway Station,Market","Car Parking,Maintenance Staff","Car Parking,Maintenance Staff","Car Parking,Maintenance Staff","Car Parking,Maintenance Staff","Car Parking,Maintenance Staff","Car Parking,Maintenance Staff","Car Parking,Maintenance Staff","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Khar,350,30000000,1 BHK,"Car Parking,Maintenance Staff","School,College,Hospitals,Medical,Railway Station,Market","Car Parking,Maintenance Staff","Car Parking,Maintenance Staff","Car Parking,Maintenance Staff","Car Parking,Maintenance Staff","Car Parking,Maintenance Staff","Car Parking,Maintenance Staff","Car Parking,Maintenance Staff","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Khar,1000,40000000,3 BHK,"24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","School,Hospitals,Medical,Market","24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","School,Hospitals,Medical,Market","School,Hospitals,Medical,Market","School,Hospitals,Medical,Market","School,Hospitals,Medical,Market","School,Hospitals,Medical,Market","School,Hospitals,Medical,Market"
Bandra,2500,7000000,1 BHK,"Car Parking,24hr Water Supply","Medical,Market","Car Parking,24hr Water Supply","Car Parking,24hr Water Supply","Car Parking,24hr Water Supply","Car Parking,24hr Water Supply","Car Parking,24hr Water Supply","Car Parking,24hr Water Supply","Car Parking,24hr Water Supply","Medical,Market","Medical,Market","Medical,Market","Medical,Market","Medical,Market","Medical,Market"
Bandra,3500,9250000,1 RK,Car Parking,"Hospitals,Medical,Railway Station,Market",Car Parking,Car Parking,Car Parking,Car Parking,Car Parking,Car Parking,Car Parking,"Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market"
Virar,386,2000000,1 BHK,"Lift,24Hr Security",School,"Lift,24Hr Security","Lift,24Hr Security","Lift,24Hr Security","Lift,24Hr Security","Lift,24Hr Security","Lift,24Hr Security","Lift,24Hr Security",School,School,School,School,School,School
Virar,580,4500000,2 BHK,"Lift,Club house","School,Hospitals,Medical,Railway Station,Market","Lift,Club house","Lift,Club house","Lift,Club house","Lift,Club house","Lift,Club house","Lift,Club house","Lift,Club house","School,Hospitals,Medical,Railway Station,Market","School,Hospitals,Medical,Railway Station,Market","School,Hospitals,Medical,Railway Station,Market","School,Hospitals,Medical,Railway Station,Market","School,Hospitals,Medical,Railway Station,Market","School,Hospitals,Medical,Railway Station,Market"
Mumbai Central,1200,30000000,1 BHK,"Car Parking,24hr Water Supply,Lift","School,College,Hospitals,Medical,Railway Station,Market","Car Parking,24hr Water Supply,Lift","Car Parking,24hr Water Supply,Lift","Car Parking,24hr Water Supply,Lift","Car Parking,24hr Water Supply,Lift","Car Parking,24hr Water Supply,Lift","Car Parking,24hr Water Supply,Lift","Car Parking,24hr Water Supply,Lift","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Dadar,350,5000000,1 BHK,"Car Parking,Maintenance Staff,Lift","Hospitals,Medical,Railway Station,Market","Car Parking,Maintenance Staff,Lift","Car Parking,Maintenance Staff,Lift","Car Parking,Maintenance Staff,Lift","Car Parking,Maintenance Staff,Lift","Car Parking,Maintenance Staff,Lift","Car Parking,Maintenance Staff,Lift","Car Parking,Maintenance Staff,Lift","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market"
Mahalaxmi,350,7000000,1 BHK,"Car Parking,Maintenance Staff","School,College,Railway Station,Market","Car Parking,Maintenance Staff","Car Parking,Maintenance Staff","Car Parking,Maintenance Staff","Car Parking,Maintenance Staff","Car Parking,Maintenance Staff","Car Parking,Maintenance Staff","Car Parking,Maintenance Staff","School,College,Railway Station,Market","School,College,Railway Station,Market","School,College,Railway Station,Market","School,College,Railway Station,Market","School,College,Railway Station,Market","School,College,Railway Station,Market"
Churchgate,450,7500000,1 BHK,"Car Parking,24hr Water Supply,Maintenance Staff,Lift,24Hr Security","School,College,Market","Car Parking,24hr Water Supply,Maintenance Staff,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Lift,24Hr Security","School,College,Market","School,College,Market","School,College,Market","School,College,Market","School,College,Market","School,College,Market"
Virar,550,5500000,2 BHK,"Car Parking,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Railway Station,Market","Car Parking,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Railway Station,Market","Railway Station,Market","Railway Station,Market","Railway Station,Market","Railway Station,Market","Railway Station,Market"
Khar,550,7000000,1 RK,"Car Parking,Gym","School,College,Hospitals,Medical,Railway Station,Market","Car Parking,Gym","Car Parking,Gym","Car Parking,Gym","Car Parking,Gym","Car Parking,Gym","Car Parking,Gym","Car Parking,Gym","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Dadar,2350,66500000,4 BHK,"Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,Club house,24Hr Security","School,College,Hospitals,Medical,Railway Station,Market","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,Club house,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,Club house,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,Club house,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,Club house,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,Club house,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,Club house,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,Club house,24Hr Security","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Dadar,980,35000000,2 BHK,"Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","School,College,Hospitals,Medical,Railway Station,Market","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Mahim,300,8000000,1 RK,"Car Parking,Lift","School,College,Hospitals,Medical,Railway Station,Market","Car Parking,Lift","Car Parking,Lift","Car Parking,Lift","Car Parking,Lift","Car Parking,Lift","Car Parking,Lift","Car Parking,Lift","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Vile Parle,2250,65000000,4 BHK,"Car Parking,24hr Water Supply,Maintenance Staff,Lift","College,Hospitals,Medical,Railway Station,Market","Car Parking,24hr Water Supply,Maintenance Staff,Lift","Car Parking,24hr Water Supply,Maintenance Staff,Lift","Car Parking,24hr Water Supply,Maintenance Staff,Lift","Car Parking,24hr Water Supply,Maintenance Staff,Lift","Car Parking,24hr Water Supply,Maintenance Staff,Lift","Car Parking,24hr Water Supply,Maintenance Staff,Lift","Car Parking,24hr Water Supply,Maintenance Staff,Lift","College,Hospitals,Medical,Railway Station,Market","College,Hospitals,Medical,Railway Station,Market","College,Hospitals,Medical,Railway Station,Market","College,Hospitals,Medical,Railway Station,Market","College,Hospitals,Medical,Railway Station,Market","College,Hospitals,Medical,Railway Station,Market"
Vile Parle,760,10000000,1 BHK,"Car Parking,24hr Water Supply,Maintenance Staff,Lift,24Hr Security","College,Hospitals,Medical,Railway Station,Market","Car Parking,24hr Water Supply,Maintenance Staff,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Lift,24Hr Security","College,Hospitals,Medical,Railway Station,Market","College,Hospitals,Medical,Railway Station,Market","College,Hospitals,Medical,Railway Station,Market","College,Hospitals,Medical,Railway Station,Market","College,Hospitals,Medical,Railway Station,Market","College,Hospitals,Medical,Railway Station,Market"
Kandivali,1240,25000000,3 BHK,"Car Parking,Maintenance Staff,Gas Pipeline,Lift","Hospitals,Medical,Market","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Hospitals,Medical,Market","Hospitals,Medical,Market","Hospitals,Medical,Market","Hospitals,Medical,Market","Hospitals,Medical,Market","Hospitals,Medical,Market"
