In which area do you stay in western line in Mumbai?,What is the carpet area of your current house in square feet?,What is the current price of your house in INR?,How many rooms do you have?,What facilities are available in your current society?,What all facilities are currently available in your nearby area?,Car Parking,24hr Water Supply,Maintenance Staff,Lift,Gas Pipeline,Gym,24hr Security,School,College,Hospitals,Medical,Railway Station,Market
Dahisar,790,9000000,2 BHK,"Car Parking,Maintenance Staff,Lift","Hospitals,Medical,Railway Station,Market","Car Parking,Maintenance Staff,Lift","Car Parking,Maintenance Staff,Lift","Car Parking,Maintenance Staff,Lift","Car Parking,Maintenance Staff,Lift","Car Parking,Maintenance Staff,Lift","Car Parking,Maintenance Staff,Lift","Car Parking,Maintenance Staff,Lift","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market"
Goregaon,1400,22000000,3 BHK,"Car Parking,Lift","College,Medical,Market","Car Parking,Lift","Car Parking,Lift","Car Parking,Lift","Car Parking,Lift","Car Parking,Lift","Car Parking,Lift","Car Parking,Lift","College,Medical,Market","College,Medical,Market","College,Medical,Market","College,Medical,Market","College,Medical,Market","College,Medical,Market"
Dahisar,450,5100000,1 RK,"Car Parking,Maintenance Staff,Gas Pipeline,Lift","Hospitals,Medical,Railway Station,Market","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market"
Nallasopara,850,3000000,3 BHK,"Car Parking,Maintenance Staff,Lift","Railway Station,Market","Car Parking,Maintenance Staff,Lift","Car Parking,Maintenance Staff,Lift","Car Parking,Maintenance Staff,Lift","Car Parking,Maintenance Staff,Lift","Car Parking,Maintenance Staff,Lift","Car Parking,Maintenance Staff,Lift","Car Parking,Maintenance Staff,Lift","Railway Station,Market","Railway Station,Market","Railway Station,Market","Railway Station,Market","Railway Station,Market","Railway Station,Market"
Nallasopara,600,2000000,1 BHK,"Maintenance Staff,Lift","Railway Station,Market","Maintenance Staff,Lift","Maintenance Staff,Lift","Maintenance Staff,Lift","Maintenance Staff,Lift","Maintenance Staff,Lift","Maintenance Staff,Lift","Maintenance Staff,Lift","Railway Station,Market","Railway Station,Market","Railway Station,Market","Railway Station,Market","Railway Station,Market","Railway Station,Market"
Nallasopara,605,2200000,1 BHK,"Car Parking,Gas Pipeline,Lift","Railway Station,Market","Car Parking,Gas Pipeline,Lift","Car Parking,Gas Pipeline,Lift","Car Parking,Gas Pipeline,Lift","Car Parking,Gas Pipeline,Lift","Car Parking,Gas Pipeline,Lift","Car Parking,Gas Pipeline,Lift","Car Parking,Gas Pipeline,Lift","Railway Station,Market","Railway Station,Market","Railway Station,Market","Railway Station,Market","Railway Station,Market","Railway Station,Market"
Khar,950,40000000,2 BHK,"Car Parking,Maintenance Staff,Lift,24Hr Security","Hospitals,Medical,Railway Station,Market","Car Parking,Maintenance Staff,Lift,24Hr Security","Car Parking,Maintenance Staff,Lift,24Hr Security","Car Parking,Maintenance Staff,Lift,24Hr Security","Car Parking,Maintenance Staff,Lift,24Hr Security","Car Parking,Maintenance Staff,Lift,24Hr Security","Car Parking,Maintenance Staff,Lift,24Hr Security","Car Parking,Maintenance Staff,Lift,24Hr Security","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market"
Jogeshwari,750,15000000,2 BHK,"Car Parking,Gas Pipeline","College,Hospitals,Medical,Railway Station,Market","Car Parking,Gas Pipeline","Car Parking,Gas Pipeline","Car Parking,Gas Pipeline","Car Parking,Gas Pipeline","Car Parking,Gas Pipeline","Car Parking,Gas Pipeline","Car Parking,Gas Pipeline","College,Hospitals,Medical,Railway Station,Market","College,Hospitals,Medical,Railway Station,Market","College,Hospitals,Medical,Railway Station,Market","College,Hospitals,Medical,Railway Station,Market","College,Hospitals,Medical,Railway Station,Market","College,Hospitals,Medical,Railway Station,Market"
Jogeshwari,990,32000000,3 BHK,"Car Parking,24hr Water Supply,Gas Pipeline","Hospitals,Medical,Railway Station,Market","Car Parking,24hr Water Supply,Gas Pipeline","Car Parking,24hr Water Supply,Gas Pipeline","Car Parking,24hr Water Supply,Gas Pipeline","Car Parking,24hr Water Supply,Gas Pipeline","Car Parking,24hr Water Supply,Gas Pipeline","Car Parking,24hr Water Supply,Gas Pipeline","Car Parking,24hr Water Supply,Gas Pipeline","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market"
Jogeshwari,1030,20000000,2 BHK,"Car Parking,Maintenance Staff,Gas Pipeline,Lift","Hospitals,Medical,Railway Station,Market","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market"
Bandra,1305,45000000,2 BHK,"Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,Club house,24Hr Security,Gym","School,College,Hospitals,Medical,Railway Station,Market","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,Club house,24Hr Security,Gym","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,Club house,24Hr Security,Gym","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,Club house,24Hr Security,Gym","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,Club house,24Hr Security,Gym","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,Club house,24Hr Security,Gym","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,Club house,24Hr Security,Gym","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,Club house,24Hr Security,Gym","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Bandra,550,25000000,1 BHK,"Gas Pipeline,Lift","School,College,Medical,Railway Station,Market","Gas Pipeline,Lift","Gas Pipeline,Lift","Gas Pipeline,Lift","Gas Pipeline,Lift","Gas Pipeline,Lift","Gas Pipeline,Lift","Gas Pipeline,Lift","School,College,Medical,Railway Station,Market","School,College,Medical,Railway Station,Market","School,College,Medical,Railway Station,Market","School,College,Medical,Railway Station,Market","School,College,Medical,Railway Station,Market","School,College,Medical,Railway Station,Market"
Dadar,1240,37500000,2 BHK,"Car Parking,Lift,Club house,24Hr Security,Gym","School,College,Hospitals,Medical,Railway Station,Market","Car Parking,Lift,Club house,24Hr Security,Gym","Car Parking,Lift,Club house,24Hr Security,Gym","Car Parking,Lift,Club house,24Hr Security,Gym","Car Parking,Lift,Club house,24Hr Security,Gym","Car Parking,Lift,Club house,24Hr Security,Gym","Car Parking,Lift,Club house,24Hr Security,Gym","Car Parking,Lift,Club house,24Hr Security,Gym","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Dadar,980,32000000,2 BHK,"Car Parking,24hr Water Supply,Lift,24Hr Security","School,College,Hospitals,Medical,Railway Station,Market","Car Parking,24hr Water Supply,Lift,24Hr Security","Car Parking,24hr Water Supply,Lift,24Hr Security","Car Parking,24hr Water Supply,Lift,24Hr Security","Car Parking,24hr Water Supply,Lift,24Hr Security","Car Parking,24hr Water Supply,Lift,24Hr Security","Car Parking,24hr Water Supply,Lift,24Hr Security","Car Parking,24hr Water Supply,Lift,24Hr Security","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Lower Parel,1040,42500000,1 BHK,"24hr Water Supply,Gas Pipeline,Lift,Club house,Gym","College,Medical,Railway Station","24hr Water Supply,Gas Pipeline,Lift,Club house,Gym","24hr Water Supply,Gas Pipeline,Lift,Club house,Gym","24hr Water Supply,Gas Pipeline,Lift,Club house,Gym","24hr Water Supply,Gas Pipeline,Lift,Club house,Gym","24hr Water Supply,Gas Pipeline,Lift,Club house,Gym","24hr Water Supply,Gas Pipeline,Lift,Club house,Gym","24hr Water Supply,Gas Pipeline,Lift,Club house,Gym","College,Medical,Railway Station","College,Medical,Railway Station","College,Medical,Railway Station","College,Medical,Railway Station","College,Medical,Railway Station","College,Medical,Railway Station"
Lower Parel,1168,47500000,2 BHK,None of the above,"Hospitals,Medical,Railway Station",None of the above,None of the above,None of the above,None of the above,None of the above,None of the above,None of the above,"Hospitals,Medical,Railway Station","Hospitals,Medical,Railway Station","Hospitals,Medical,Railway Station","Hospitals,Medical,Railway Station","Hospitals,Medical,Railway Station","Hospitals,Medical,Railway Station"
Mahim,815,40000000,2 BHK,"24hr Water Supply,Lift,Club house,24Hr Security,Gym","School,College,Hospitals,Medical,Railway Station,Market","24hr Water Supply,Lift,Club house,24Hr Security,Gym","24hr Water Supply,Lift,Club house,24Hr Security,Gym","24hr Water Supply,Lift,Club house,24Hr Security,Gym","24hr Water Supply,Lift,Club house,24Hr Security,Gym","24hr Water Supply,Lift,Club house,24Hr Security,Gym","24hr Water Supply,Lift,Club house,24Hr Security,Gym","24hr Water Supply,Lift,Club house,24Hr Security,Gym","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Mahim,650,26500000,1 BHK,"Car Parking,Gas Pipeline,Lift","School,College,Hospitals,Medical,Railway Station,Market","Car Parking,Gas Pipeline,Lift","Car Parking,Gas Pipeline,Lift","Car Parking,Gas Pipeline,Lift","Car Parking,Gas Pipeline,Lift","Car Parking,Gas Pipeline,Lift","Car Parking,Gas Pipeline,Lift","Car Parking,Gas Pipeline,Lift","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Matunga Road,777,30000000,2 BHK,"24hr Water Supply,Gas Pipeline,Lift,Gym","Medical,Market","24hr Water Supply,Gas Pipeline,Lift,Gym","24hr Water Supply,Gas Pipeline,Lift,Gym","24hr Water Supply,Gas Pipeline,Lift,Gym","24hr Water Supply,Gas Pipeline,Lift,Gym","24hr Water Supply,Gas Pipeline,Lift,Gym","24hr Water Supply,Gas Pipeline,Lift,Gym","24hr Water Supply,Gas Pipeline,Lift,Gym","Medical,Market","Medical,Market","Medical,Market","Medical,Market","Medical,Market","Medical,Market"
Mahalaxmi,550,12000000,1 BHK,"Gas Pipeline,Lift","Medical,Market","Gas Pipeline,Lift","Gas Pipeline,Lift","Gas Pipeline,Lift","Gas Pipeline,Lift","Gas Pipeline,Lift","Gas Pipeline,Lift","Gas Pipeline,Lift","Medical,Market","Medical,Market","Medical,Market","Medical,Market","Medical,Market","Medical,Market"
Mahalaxmi,946,50000000,2 BHK,"Car Parking,24hr Water Supply,Maintenance Staff,Lift,24Hr Security,Gym","School,Hospitals,Medical,Railway Station,Market","Car Parking,24hr Water Supply,Maintenance Staff,Lift,24Hr Security,Gym","Car Parking,24hr Water Supply,Maintenance Staff,Lift,24Hr Security,Gym","Car Parking,24hr Water Supply,Maintenance Staff,Lift,24Hr Security,Gym","Car Parking,24hr Water Supply,Maintenance Staff,Lift,24Hr Security,Gym","Car Parking,24hr Water Supply,Maintenance Staff,Lift,24Hr Security,Gym","Car Parking,24hr Water Supply,Maintenance Staff,Lift,24Hr Security,Gym","Car Parking,24hr Water Supply,Maintenance Staff,Lift,24Hr Security,Gym","School,Hospitals,Medical,Railway Station,Market","School,Hospitals,Medical,Railway Station,Market","School,Hospitals,Medical,Railway Station,Market","School,Hospitals,Medical,Railway Station,Market","School,Hospitals,Medical,Railway Station,Market","School,Hospitals,Medical,Railway Station,Market"
Mahalaxmi,2394,66500000,3 BHK,"Car Parking,24hr Water Supply,Lift,Club house,24Hr Security,Gym","School,College,Hospitals,Medical,Railway Station,Market","Car Parking,24hr Water Supply,Lift,Club house,24Hr Security,Gym","Car Parking,24hr Water Supply,Lift,Club house,24Hr Security,Gym","Car Parking,24hr Water Supply,Lift,Club house,24Hr Security,Gym","Car Parking,24hr Water Supply,Lift,Club house,24Hr Security,Gym","Car Parking,24hr Water Supply,Lift,Club house,24Hr Security,Gym","Car Parking,24hr Water Supply,Lift,Club house,24Hr Security,Gym","Car Parking,24hr Water Supply,Lift,Club house,24Hr Security,Gym","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Matunga Road,610,10000000,1 BHK,Lift,Market,Lift,Lift,Lift,Lift,Lift,Lift,Lift,Market,Market,Market,Market,Market,Market
Mumbai Central,1115,5000000,2 BHK,"Car Parking,Maintenance Staff,Gym","Medical,Railway Station","Car Parking,Maintenance Staff,Gym","Car Parking,Maintenance Staff,Gym","Car Parking,Maintenance Staff,Gym","Car Parking,Maintenance Staff,Gym","Car Parking,Maintenance Staff,Gym","Car Parking,Maintenance Staff,Gym","Car Parking,Maintenance Staff,Gym","Medical,Railway Station","Medical,Railway Station","Medical,Railway Station","Medical,Railway Station","Medical,Railway Station","Medical,Railway Station"
Mumbai Central,530,3000000,1 BHK,"Car Parking,Maintenance Staff,Lift,24Hr Security,Gym","School,Market","Car Parking,Maintenance Staff,Lift,24Hr Security,Gym","Car Parking,Maintenance Staff,Lift,24Hr Security,Gym","Car Parking,Maintenance Staff,Lift,24Hr Security,Gym","Car Parking,Maintenance Staff,Lift,24Hr Security,Gym","Car Parking,Maintenance Staff,Lift,24Hr Security,Gym","Car Parking,Maintenance Staff,Lift,24Hr Security,Gym","Car Parking,Maintenance Staff,Lift,24Hr Security,Gym","School,Market","School,Market","School,Market","School,Market","School,Market","School,Market"
Prabhadevi,1717,43000000,3 BHK,Gym,"School,College,Medical",Gym,Gym,Gym,Gym,Gym,Gym,Gym,"School,College,Medical","School,College,Medical","School,College,Medical","School,College,Medical","School,College,Medical","School,College,Medical"
Prabhadevi,310,10000000,1 BHK,"Car Parking,24hr Water Supply,Maintenance Staff,Lift,24Hr Security","School,College,Hospitals,Medical","Car Parking,24hr Water Supply,Maintenance Staff,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Lift,24Hr Security","School,College,Hospitals,Medical","School,College,Hospitals,Medical","School,College,Hospitals,Medical","School,College,Hospitals,Medical","School,College,Hospitals,Medical","School,College,Hospitals,Medical"
Prabhadevi,1650,40000000,3 BHK,"24hr Water Supply,Lift,Gym","School,Hospitals,Medical,Market","24hr Water Supply,Lift,Gym","24hr Water Supply,Lift,Gym","24hr Water Supply,Lift,Gym","24hr Water Supply,Lift,Gym","24hr Water Supply,Lift,Gym","24hr Water Supply,Lift,Gym","24hr Water Supply,Lift,Gym","School,Hospitals,Medical,Market","School,Hospitals,Medical,Market","School,Hospitals,Medical,Market","School,Hospitals,Medical,Market","School,Hospitals,Medical,Market","School,Hospitals,Medical,Market"
Grant Road,1800,51000000,3 BHK,"Car Parking,24hr Water Supply,Maintenance Staff,Lift","Medical,Market","Car Parking,24hr Water Supply,Maintenance Staff,Lift","Car Parking,24hr Water Supply,Maintenance Staff,Lift","Car Parking,24hr Water Supply,Maintenance Staff,Lift","Car Parking,24hr Water Supply,Maintenance Staff,Lift","Car Parking,24hr Water Supply,Maintenance Staff,Lift","Car Parking,24hr Water Supply,Maintenance Staff,Lift","Car Parking,24hr Water Supply,Maintenance Staff,Lift","Medical,Market","Medical,Market","Medical,Market","Medical,Market","Medical,Market","Medical,Market"
Borivali,700,8000000,1 BHK,"Car Parking,Maintenance Staff,Lift","Railway Station,Market","Car Parking,Maintenance Staff,Lift","Car Parking,Maintenance Staff,Lift","Car Parking,Maintenance Staff,Lift","Car Parking,Maintenance Staff,Lift","Car Parking,Maintenance Staff,Lift","Car Parking,Maintenance Staff,Lift","Car Parking,Maintenance Staff,Lift","Railway Station,Market","Railway Station,Market","Railway Station,Market","Railway Station,Market","Railway Station,Market","Railway Station,Market"
Goregaon,2030,37500000,3 BHK,"Car Parking,Maintenance Staff,Gas Pipeline,Lift","Medical,Railway Station,Market","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Medical,Railway Station,Market","Medical,Railway Station,Market","Medical,Railway Station,Market","Medical,Railway Station,Market","Medical,Railway Station,Market","Medical,Railway Station,Market"
Borivali,1670,24500000,3 BHK,"Car Parking,Maintenance Staff,Gas Pipeline,Lift","Hospitals,Medical,Railway Station,Market","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market"
Virar,600,8900000,1 BHK,"Car Parking,Lift","Hospitals,Medical,Railway Station,Market","Car Parking,Lift","Car Parking,Lift","Car Parking,Lift","Car Parking,Lift","Car Parking,Lift","Car Parking,Lift","Car Parking,Lift","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market"
Nallasopara,570,2700000,1 BHK,Lift,"Railway Station,Market",Lift,Lift,Lift,Lift,Lift,Lift,Lift,"Railway Station,Market","Railway Station,Market","Railway Station,Market","Railway Station,Market","Railway Station,Market","Railway Station,Market"
Malad,630,11500000,1 BHK,"Car Parking,Gas Pipeline,Lift","Hospitals,Medical,Railway Station,Market","Car Parking,Gas Pipeline,Lift","Car Parking,Gas Pipeline,Lift","Car Parking,Gas Pipeline,Lift","Car Parking,Gas Pipeline,Lift","Car Parking,Gas Pipeline,Lift","Car Parking,Gas Pipeline,Lift","Car Parking,Gas Pipeline,Lift","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market"
Goregaon,1485,28500000,3 BHK,"Car Parking,Gas Pipeline,Lift","Hospitals,Medical,Railway Station,Market","Car Parking,Gas Pipeline,Lift","Car Parking,Gas Pipeline,Lift","Car Parking,Gas Pipeline,Lift","Car Parking,Gas Pipeline,Lift","Car Parking,Gas Pipeline,Lift","Car Parking,Gas Pipeline,Lift","Car Parking,Gas Pipeline,Lift","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market"
Nallasopara,580,2700000,1 BHK,"Gas Pipeline,Lift","Railway Station,Market","Gas Pipeline,Lift","Gas Pipeline,Lift","Gas Pipeline,Lift","Gas Pipeline,Lift","Gas Pipeline,Lift","Gas Pipeline,Lift","Gas Pipeline,Lift","Railway Station,Market","Railway Station,Market","Railway Station,Market","Railway Station,Market","Railway Station,Market","Railway Station,Market"
Kandivali,1614,22000000,3 BHK,"Car Parking,Maintenance Staff,Gas Pipeline,Lift","Railway Station,Market","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Car Parking,Maintenance Staff,Gas Pipeline,Lift","Railway Station,Market","Railway Station,Market","Railway Station,Market","Railway Station,Market","Railway Station,Market","Railway Station,Market"
Jogeshwari,997,32500000,3 BHK,"Car Parking,Gas Pipeline,Lift","Hospitals,Medical,Railway Station,Market","Car Parking,Gas Pipeline,Lift","Car Parking,Gas Pipeline,Lift","Car Parking,Gas Pipeline,Lift","Car Parking,Gas Pipeline,Lift","Car Parking,Gas Pipeline,Lift","Car Parking,Gas Pipeline,Lift","Car Parking,Gas Pipeline,Lift","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market"
Andheri,1260,20000000,2 BHK,"Car Parking,Maintenance Staff,Lift","Railway Station,Market","Car Parking,Maintenance Staff,Lift","Car Parking,Maintenance Staff,Lift","Car Parking,Maintenance Staff,Lift","Car Parking,Maintenance Staff,Lift","Car Parking,Maintenance Staff,Lift","Car Parking,Maintenance Staff,Lift","Car Parking,Maintenance Staff,Lift","Railway Station,Market","Railway Station,Market","Railway Station,Market","Railway Station,Market","Railway Station,Market","Railway Station,Market"
Andheri,2016,33400000,3 BHK,"Car Parking,Gas Pipeline,Lift","Hospitals,Medical,Railway Station,Market","Car Parking,Gas Pipeline,Lift","Car Parking,Gas Pipeline,Lift","Car Parking,Gas Pipeline,Lift","Car Parking,Gas Pipeline,Lift","Car Parking,Gas Pipeline,Lift","Car Parking,Gas Pipeline,Lift","Car Parking,Gas Pipeline,Lift","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market"
Dahisar,566,6500000,1 BHK,"Gas Pipeline,Lift","Railway Station,Market","Gas Pipeline,Lift","Gas Pipeline,Lift","Gas Pipeline,Lift","Gas Pipeline,Lift","Gas Pipeline,Lift","Gas Pipeline,Lift","Gas Pipeline,Lift","Railway Station,Market","Railway Station,Market","Railway Station,Market","Railway Station,Market","Railway Station,Market","Railway Station,Market"
Vile Parle,2250,65000000,4 BHK,"Car Parking,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","School,College,Hospitals,Medical,Railway Station,Market","Car Parking,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
