Timestamp,What is your age?,What is your gender?,In which area do you stay in western line in Mumbai?,Your yearly income in INR,Do you own a house?,Where is your house located?,What is the carpet area of your current house in square feet?,How many rooms do you have?,What is the current price of your house in INR?,What facilities are available in your current society?,What all facilities are currently available in your nearby area?,Are you planning to buy a new house in Mumbai(Western Line)?,Would you take a housing loan if you had to buy a house?,In which area you would like to buy a new house in Mumbai(Western Line) if you had to?,What type of house you would look for if you had to buy a house?,What would be your budget if you had to buy a house?,How much carpet area would you want(square feet) if you had to buy a house?,How many rooms do you want if you had to buy a house?,If you had to buy a house what would you buy?,What facilities you would like a society to feature?,What all facilities you want nearby your area?
4/10/2021 14:32:05,46 - 55,Male,Andheri,7lakh - 9lakh,Yes,Building,2016,3 BHK,33400000,"Car Parking, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market",No,Yes,Borivali,Bungalow,1Cr - 2Cr,2000,3 BHK,Resale House,"Car Parking, 24hr Water Supply, Gas Pipeline","Hospitals, Medical, Railway Station, Market"
4/10/2021 14:21:51,56 - 65,Male,Andheri,9lakh - 11lakh,Yes,Building,1260,2 BHK,20000000,"Car Parking, Maintenance Staff, Lift","Railway Station, Market",No,Yes,Borivali,Row House,2Cr - 3Cr,2000,3 BHK,New House,"Car Parking, 24hr Water Supply, Gas Pipeline","Hospitals, Medical, Railway Station, Market"
4/4/2021 12:39:29,36 - 45,Male,Andheri,11lakh and above,Yes,Building,450,1 BHK,15000000,"24hr Water Supply, Gas Pipeline, Lift","School, College, Hospitals, Medical, Railway Station, Market",Yes,Yes,Dadar,Building,1Cr - 2Cr,450,1 BHK,New House,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market"
4/4/2021 12:24:14,36 - 45,Female,Andheri,11lakh and above,Yes,Building,750,1 BHK,20000000,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market",No,No,Andheri,Building,1Cr - 2Cr,1000,2 BHK,New House,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","School, College, Hospitals, Medical, Railway Station, Market"
4/4/2021 12:22:12,25 - 35,Male,Andheri,9lakh - 11lakh,Yes,Building,475,1 BHK,15000000,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market",No,Yes,Dadar,Building,1Cr - 2Cr,500,1 BHK,Resale House,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market"
4/12/2021 22:12:07,36 - 45,Male,Andheri,3lakh - 5lakh,Yes,Building,1000,2 BHK,24000000,"Car Parking, Maintenance Staff, 24Hr Security","School, Hospitals, Medical, Railway Station, Market",No,No,Andheri,Building,1Cr - 2Cr,750,1 BHK,Resale House,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market"
4/12/2021 22:19:56,36 - 45,Male,Andheri,5lakh - 7lakh,Yes,Building,1120,2 BHK,3900000,"Car Parking, Maintenance Staff, Lift, 24Hr Security, Gym","Medical, Market",Yes,No,Bandra,Building,2Cr - 3Cr,1000,2 BHK,Resale House,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market"
4/12/2021 22:28:01,56 - 65,Male,Andheri,3lakh - 5lakh,Yes,Building,1100,2 BHK,18000000,"Car Parking, Maintenance Staff, Lift, 24Hr Security, Gym",Medical,No,No,Marine Lines,Building,1Cr - 2Cr,777,2 BHK,Resale House,"24hr Water Supply, Gas Pipeline, Lift, Gym","Medical, Market"
4/11/2021 20:55:06,36 - 45,Female,Bandra,5lakh - 7lakh,Yes,Building,1000,2 BHK,35000000,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market",Yes,No,Mahim,Building,2Cr - 3Cr,815,2 BHK,New House,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","School, College, Hospitals, Medical, Railway Station, Market"
4/11/2021 20:42:03,46 - 55,Male,Bandra,9lakh - 11lakh,Yes,Building,833,2 BHK,52600000,"24hr Water Supply, Lift, Club house, 24Hr Security, Gym","School, College, Hospitals, Medical, Railway Station, Market",No,No,Bandra,Building,2Cr - 3Cr,850,2 BHK,Resale House,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Hospitals, Medical, Railway Station, Market"
4/11/2021 20:34:16,46 - 55,Male,Bandra,5lakh - 7lakh,Yes,Building,850,2 BHK,25000000,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Hospitals, Medical, Railway Station, Market",No,Yes,Bandra,Building,2Cr - 3Cr,833,2 BHK,New House,"Car Parking, Lift, Club house, 24Hr Security, Gym","School, College, Hospitals, Medical, Railway Station, Market"
4/11/2021 20:22:51,36 - 45,Male,Bandra,7lakh - 9lakh,Yes,Building,750,2 BHK,25700000,"Car Parking, Lift","School, College, Medical, Railway Station, Market",Yes,No,Santacruz,Building,2Cr - 3Cr,950,2 BHK,New House,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","School, College, Medical, Railway Station, Market"
4/11/2021 20:17:29,36 - 45,Female,Bandra,9lakh - 11lakh,Yes,Building,550,1 BHK,20000000,"24hr Water Supply, Gas Pipeline, Lift","School, College, Medical, Railway Station, Market",No,No,Bandra,Building,90lakh- 1Cr,750,2 BHK,Resale House,"Car Parking, Lift","School, College, Medical, Railway Station, Market"
4/11/2021 12:34:14,36 - 45,Female,Bandra,3lakh - 5lakh,Yes,Chawl,425,1 BHK,2300000,None of the above,"Hospitals, Medical, Railway Station, Market",No,Yes,Malad,Building,50lakh - 60lakh,500,2 BHK,Resale House,Lift,"Hospitals, Medical, Railway Station, Market"
4/8/2021 19:11:31,46 - 55,Male,Bandra,5lakh - 7lakh,Yes,Building,550,1 BHK,24500000,"Gas Pipeline, Lift","School, College, Medical, Railway Station, Market",Yes,No,Churchgate,Building,2Cr - 3Cr,650,2 BHK,New House,"Car Parking, 24hr Water Supply, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market"
4/8/2021 19:02:36,36 - 45,Male,Bandra,7lakh - 9lakh,Yes,Building,1305,2 BHK,45000000,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","School, College, Hospitals, Medical, Railway Station, Market",No,Yes,Dadar,Building,4Cr - 5Cr,1500,2 BHK,New House,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security, Gym","School, College, Hospitals, Medical, Railway Station, Market"
4/5/2021 0:37:43,25 - 35,Female,Bandra,1lakh - 3lakh,Yes,Chawl,3500,1 RK,9000000,Car Parking,"Hospitals, Medical, Railway Station, Market",No,No,Virar,Building,20lakh - 30lakh,5000,1 BHK,Resale House,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift","School, College, Hospitals, Medical, Railway Station, Market"
4/5/2021 0:34:53,46 - 55,Male,Bandra,5lakh - 7lakh,Yes,Building,2500,1 BHK,8000000,"Car Parking, 24hr Water Supply","Medical, Market",No,Yes,Prabhadevi,Building,80lakh-90lakh,3500,2 BHK,Resale House,"Car Parking, 24hr Water Supply, Lift","Hospitals, Medical, Market"
4/4/2021 12:19:49,25 - 35,Male,Bandra,3lakh - 5lakh,No,,,,,,,No,Yes,Borivali,Building,1Cr - 2Cr,350,2 BHK,Resale House,"Car Parking, 24hr Water Supply, Maintenance Staff, Lift, Club house, 24Hr Security, Gym","School, College, Hospitals, Medical, Market"
4/8/2021 15:41:08,25 - 35,Male,Bhayandar,1lakh - 3lakh,No,,,,,,,Yes,Yes,Bhayandar,Building,20lakh - 30lakh,500,1 BHK,New House,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","School, College, Hospitals, Medical, Railway Station, Market"
4/4/2021 11:23:23,56 - 65,Male,Bhayandar,1lakh - 3lakh,Yes,Building,330,1 RK,3800000,24hr Water Supply,"School, College, Hospitals, Medical, Railway Station, Market",Yes,Yes,Matunga Road,Building,90lakh- 1Cr,600,1 BHK,New House,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","School, College, Hospitals, Medical, Railway Station, Market"
4/4/2021 11:12:46,25 - 35,Female,Bhayandar,1lakh - 3lakh,Yes,Building,500,1 BHK,5700000,"Car Parking, 24hr Water Supply, Maintenance Staff, Lift","School, College, Hospitals, Medical, Railway Station, Market",Yes,Yes,Bhayandar,Building,70lakh-80lakh,800,2 BHK,Resale House,"Car Parking, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Hospitals, Medical, Railway Station, Market"
4/11/2021 22:57:13,36 - 45,Male,Borivali,3lakh - 5lakh,Yes,Building,900,2 BHK,16299999,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","School, Hospitals, Medical, Railway Station, Market",No,No,Bandra,Building,1Cr - 2Cr,1240,2 BHK,New House,"Car Parking, Lift, Club house, 24Hr Security, Gym","School, College, Hospitals, Medical, Railway Station, Market"
4/11/2021 22:49:11,36 - 45,Male,Borivali,5lakh - 7lakh,Yes,Building,552,1 BHK,10000000,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security, Gym","Medical, Market",Yes,Yes,Borivali,Building,1Cr - 2Cr,900,2 BHK,Resale House,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","School, Hospitals, Medical, Railway Station, Market"
4/10/2021 11:42:36,56 - 65,Male,Borivali,11lakh and above,Yes,Building,1670,3 BHK,25000000,"Car Parking, Maintenance Staff, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market",No,Yes,Churchgate,Building,4Cr - 5Cr,1500,3 BHK,New House,"Car Parking, Maintenance Staff, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market"
4/10/2021 11:35:01,46 - 55,Female,Borivali,5lakh - 7lakh,Yes,Building,700,1 BHK,8200000,"Car Parking, Maintenance Staff, Lift","Railway Station, Market",No,Yes,Santacruz,Building,80lakh-90lakh,800,2 BHK,Resale House,"Car Parking, Gas Pipeline, Lift","Hospitals, Medical, Market"
4/10/2021 11:32:12,25 - 35,Male,Borivali,5lakh - 7lakh,No,,,,,,,Yes,Yes,Bhayandar,Building,1Cr - 2Cr,1100,2 BHK,Resale House,"Car Parking, Gas Pipeline, Lift","Medical, Railway Station, Market"
4/7/2021 10:19:50,36 - 45,Female,Churchgate,11lakh and above,Yes,Building,450,1 BHK,7820000,"Car Parking, 24hr Water Supply, Maintenance Staff, Lift, 24Hr Security","School, College, Market",No,Yes,Borivali,Bungalow,1Cr - 2Cr,5000,4 BHK,Resale House,"Car Parking, 24hr Water Supply, Gas Pipeline","College, Hospitals, Medical, Railway Station, Market"
4/11/2021 23:21:16,46 - 55,Male,Dadar,9lakh - 11lakh,Yes,Building,1240,2 BHK,37500000,"Car Parking, Lift, Club house, 24Hr Security, Gym","School, College, Hospitals, Medical, Railway Station, Market",No,No,Mahim,Building,3Cr - 4Cr,815,2 BHK,New House,"24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","School, College, Hospitals, Medical, Railway Station, Market"
4/8/2021 19:21:20,36 - 45,Female,Dadar,5lakh - 7lakh,Yes,Building,980,2 BHK,34500000,"Car Parking, 24hr Water Supply, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market",No,Yes,Dadar,Building,3Cr - 4Cr,1200,2 BHK,Resale House,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Hospitals, Medical, Railway Station, Market"
4/8/2021 19:16:53,46 - 55,Male,Dadar,7lakh - 9lakh,Yes,Building,1240,2 BHK,39000000,"Car Parking, Lift, Club house, 24Hr Security, Gym","School, College, Hospitals, Medical, Railway Station, Market",No,No,Matunga Road,Building,4Cr - 5Cr,1350,2 BHK,New House,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Hospitals, Medical, Railway Station, Market"
4/7/2021 12:37:23,56 - 65,Male,Dadar,9lakh - 11lakh,Yes,Building,980,2 BHK,39000000,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market",No,No,Borivali,Bungalow,3Cr - 4Cr,2000,4 BHK,New House,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline","Hospitals, Medical, Railway Station, Market"
4/7/2021 12:34:08,36 - 45,Male,Dadar,11lakh and above,Yes,Building,2350,4 BHK,68000000,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market",No,Yes,Marine Lines,Building,6Cr - 7Cr,3000,4 BHK,Resale House,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","School, College, Hospitals, Medical, Railway Station, Market"
4/6/2021 21:33:12,25 - 35,Female,Dadar,7lakh - 9lakh,Yes,Building,350,1 BHK,5500000,"Car Parking, Maintenance Staff, Lift","Hospitals, Medical, Railway Station, Market",Yes,Yes,Virar,Building,50lakh - 60lakh,600,2 BHK,New House,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Hospitals, Medical, Railway Station, Market"
4/4/2021 15:24:34,25 - 35,Male,Dadar,11lakh and above,No,,,,28000000,"Car Parking, 24hr Water Supply","School, College, Hospitals, Medical, Railway Station, Market",Yes,Yes,Dadar,Building,1Cr - 2Cr,1000,3 BHK,New House,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market"
4/4/2021 13:30:45,56 - 65,Male,Dadar,5lakh - 7lakh,Yes,Building,600,2 BHK,35000000,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market",No,Yes,Dadar,Building,90lakh- 1Cr,600,1 RK,New House,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Hospitals, Medical, Railway Station, Market"
4/1/2021 22:53:45,25 - 35,Male,Dadar,5lakh - 7lakh,Yes,Building,567,1 BHK,9500000,"24hr Water Supply, 24Hr Security","Hospitals, Railway Station",Yes,No,Mahalaxmi,Bungalow,70lakh-80lakh,6787,1 BHK,New House,"Gas Pipeline, Club house, 24Hr Security","School, College, Medical"
4/10/2021 14:37:05,36 - 45,Female,Dahisar,5lakh - 7lakh,Yes,Building,566,1 BHK,6500000,"Gas Pipeline, Lift","Railway Station, Market",No,Yes,Mira Road,Building,70lakh-80lakh,650,2 BHK,Resale House,"Car Parking, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market"
4/7/2021 23:50:10,46 - 55,Male,Dahisar,7lakh - 9lakh,Yes,Building,450,1 RK,5000000,"Car Parking, Maintenance Staff, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market",No,Yes,Vasai Road,Building,70lakh-80lakh,1107,3 BHK,Resale House,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market"
4/7/2021 23:34:31,56 - 65,Male,Dahisar,7lakh - 9lakh,Yes,Building,790,2 BHK,9000000,"Car Parking, Maintenance Staff, Lift","Hospitals, Medical, Railway Station, Market",No,No,Borivali,Building,80lakh-90lakh,550,1 BHK,New House,"Car Parking, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Hospitals, Medical, Railway Station, Market"
4/4/2021 12:49:39,56 - 65,Male,Dahisar,1lakh - 3lakh,Yes,Chawl,230,1 BHK,2300000,None of the above,"School, Hospitals, Medical, Railway Station, Market",No,Yes,Borivali,Chawl,20lakh - 30lakh,250,1 RK,Resale House,Car Parking,"Hospitals, Railway Station, Market"
4/10/2021 12:26:54,56 - 65,Female,Goregaon,9lakh - 11lakh,Yes,Building,1485,3 BHK,28500000,"Car Parking, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market",No,Yes,Dahisar,Building,3Cr - 4Cr,650,3 BHK,Resale House,"Car Parking, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market"
4/10/2021 11:37:52,56 - 65,Male,Goregaon,11lakh and above,Yes,Building,2030,3 BHK,35000000,"Car Parking, Maintenance Staff, Gas Pipeline, Lift","Medical, Railway Station, Market",No,Yes,Marine Lines,Building,6Cr - 7Cr,1300,3 BHK,New House,"Car Parking, Maintenance Staff, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market"
4/7/2021 23:46:17,56 - 65,Male,Goregaon,9lakh - 11lakh,Yes,Building,1400,3 BHK,27500000,"Car Parking, Lift","College, Medical, Market",No,Yes,Kandivali,Building,3Cr - 4Cr,1240,3 BHK,New House,"Car Parking, Maintenance Staff, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market"
4/4/2021 11:14:39,56 - 65,Female,Goregaon,9lakh - 11lakh,Yes,Building,450,2 BHK,8550000,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market",Yes,No,Bandra,Building,70lakh-80lakh,450,1 BHK,Resale House,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market"
4/9/2021 8:46:48,46 - 55,Female,Grant Road,7lakh - 9lakh,Yes,Building,1800,3 BHK,58000000,"Car Parking, 24hr Water Supply, Maintenance Staff, Lift","Medical, Market",No,No,Bandra,Building,3Cr - 4Cr,750,2 BHK,New House,"Car Parking, 24hr Water Supply, Lift","Hospitals, Medical, Railway Station, Market"
4/10/2021 14:18:42,46 - 55,Male,Jogeshwari,11lakh and above,Yes,Building,997,3 BHK,32500000,"Car Parking, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market",No,Yes,Khar,Building,5Cr - 6Cr,1000,4 BHK,Resale House,"Car Parking, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Hospitals, Medical, Railway Station, Market"
4/8/2021 0:21:47,56 - 65,Male,Jogeshwari,11lakh and above,Yes,Building,1030,2 BHK,20000000,"Car Parking, Gas Pipeline, Lift","Medical, Railway Station, Market",No,Yes,Malad,Building,2Cr - 3Cr,900,3 BHK,New House,"Car Parking, Maintenance Staff, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market"
4/8/2021 0:20:05,46 - 55,Male,Jogeshwari,11lakh and above,Yes,Building,990,3 BHK,38000000,"Car Parking, Maintenance Staff, Lift","Medical, Railway Station, Market",No,No,Borivali,Bungalow,4Cr - 5Cr,4000,4 BHK,New House,"Car Parking, 24hr Water Supply, Gas Pipeline","Hospitals, Medical, Railway Station, Market"
4/8/2021 0:18:30,46 - 55,Male,Jogeshwari,11lakh and above,Yes,Building,750,2 BHK,20000000,"Car Parking, Maintenance Staff, Lift","Medical, Railway Station, Market",No,Yes,Borivali,Bungalow,1Cr - 2Cr,3000,3 BHK,Resale House,"Car Parking, Gas Pipeline","College, Hospitals, Medical, Railway Station, Market"
4/12/2021 21:05:23,36 - 45,Male,Kandivali,3lakh - 5lakh,Yes,Building,693,1 BHK,7200000,"Car Parking, Lift, Club house, 24Hr Security, Gym","Medical, Market",Yes,Yes,Bandra,Building,2Cr - 3Cr,750,2 BHK,New House,"Car Parking, Lift","School, College, Hospitals, Medical, Railway Station, Market"
4/12/2021 20:34:53,36 - 45,Male,Kandivali,3lakh - 5lakh,Yes,Building,627,1 BHK,7000000,"Car Parking, Lift, Club house, 24Hr Security, Gym","School, College, Hospitals, Medical, Railway Station, Market",Yes,Yes,Santacruz,Building,1Cr - 2Cr,950,2 BHK,New House,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","School, College, Hospitals, Medical, Railway Station, Market"
4/12/2021 20:08:13,46 - 55,Male,Kandivali,5lakh - 7lakh,Yes,Building,1054,2 BHK,11000000,"Car Parking, Lift, Club house, 24Hr Security, Gym","School, College, Hospitals, Medical, Railway Station, Market",Yes,No,Khar,Building,2Cr - 3Cr,950,2 BHK,New House,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","School, College, Hospitals, Medical, Railway Station, Market"
4/12/2021 19:55:26,36 - 45,Male,Kandivali,3lakh - 5lakh,Yes,Building,685,1 BHK,7500000,"Car Parking, Lift, 24Hr Security, Gym","Medical, Market",No,Yes,Borivali,Building,80lakh-90lakh,700,1 BHK,New House,"Car Parking, Maintenance Staff, Lift, Club house, 24Hr Security, Gym","School, College, Hospitals, Medical, Railway Station, Market"
4/10/2021 12:35:25,56 - 65,Male,Kandivali,7lakh - 9lakh,Yes,Building,1614,3 BHK,22000000,"Car Parking, Maintenance Staff, Gas Pipeline, Lift","Railway Station, Market",No,Yes,Bandra,Building,4Cr - 5Cr,800,3 BHK,Resale House,"Car Parking, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market"
4/7/2021 23:30:41,56 - 65,Male,Kandivali,7lakh - 9lakh,Yes,Building,1240,3 BHK,28000000,"Car Parking, Maintenance Staff, Gas Pipeline, Lift","Hospitals, Medical, Market",Yes,Yes,Mira Road,Building,80lakh-90lakh,840,2 BHK,New House,"Car Parking, Maintenance Staff, Gas Pipeline, Lift","School, College"
4/12/2021 20:26:01,46 - 55,Female,Khar,7lakh - 9lakh,Yes,Building,950,2 BHK,34800000,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","School, College, Hospitals, Medical, Railway Station, Market",No,No,Bandra,Building,3Cr - 4Cr,1000,2 BHK,Resale House,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market"
4/8/2021 0:02:01,46 - 55,Male,Khar,11lakh and above,Yes,Building,950,2 BHK,38000000,"Car Parking, Maintenance Staff, Lift, 24Hr Security","Hospitals, Medical, Railway Station, Market",Yes,No,Bandra,Building,2Cr - 3Cr,850,2 BHK,Resale House,"Car Parking, Maintenance Staff, Lift, 24Hr Security","Hospitals, Medical, Railway Station, Market"
4/7/2021 12:26:46,25 - 35,Male,Khar,5lakh - 7lakh,Yes,Chawl,550,1 RK,7000000,"Car Parking, Gym","School, College, Hospitals, Medical, Railway Station, Market",Yes,Yes,Khar,Building,50lakh - 60lakh,550,1 BHK,New House,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym, None of the above","School, College, Hospitals, Medical, Railway Station, Market"
4/5/2021 0:29:12,25 - 35,Male,Khar,5lakh - 7lakh,Yes,Building,1000,3 BHK,40000000,"24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","School, Hospitals, Medical, Market",Yes,Yes,Virar,Building,20lakh - 30lakh,800,2 BHK,New House,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","School, College, Hospitals, Medical, Market"
